# Pattern: adjacent letter swaps
the -> teh, hte
and -> adn, nad
for -> fro, ofr
are -> aer, rae
was -> wsa, asw
has -> ahs, hsa
had -> ahd, hda
have -> ahve, hvae
were -> weer, ewre
been -> eben, bene
with -> wiht, wtih
that -> taht, htat
this -> tihs, htis
from -> form, fomr
they -> tehy, htey
which -> whihc, wihch
their -> thier, tehir
would -> woudl, wolud
could -> coudl, colud
should -> shuold, shoudl
through -> trhough, throuhg
because -> becuase, becasue
between -> bewteen, betwen
different -> differnt, diffrent
important -> importnat, improtant
