duration,protocol_type,service,flag,src_bytes,dst_bytes,label
0.5768,udp,ftp_data,SF,4227,4012,normal
0.5429,icmp,finger,SF,4053,4961,normal
41.4938,tcp,http,S0,64905,0,anomaly
0.6097,udp,smtp,SF,1130,3725,normal
0.0141,icmp,ftp_data,SF,2712,907,normal
0.7992,icmp,finger,SF,2195,3624,normal
0.3657,udp,http,SF,4456,2634,normal
0.9485,udp,domain_u,SF,2577,1283,normal
41.296,tcp,http,S0,97583,0,anomaly
25.3939,tcp,http,S0,23855,0,anomaly
0.6233,icmp,finger,SF,4348,3746,normal
0.5622,udp,domain_u,SF,4669,1527,normal
0.8145,tcp,http,SF,1472,3969,normal
0.7595,icmp,smtp,SF,4222,2482,normal
0.8023,tcp,domain_u,SF,2558,490,normal
0.8899,udp,ftp_data,SF,2340,3790,normal
0.5115,tcp,finger,SF,4327,703,normal
20.5963,tcp,http,S0,29270,0,anomaly
0.2514,udp,smtp,SF,3978,2395,normal
0.7749,tcp,domain_u,SF,2873,2174,normal
7.9723,tcp,http,S0,40087,0,anomaly
20.4364,tcp,http,S0,87507,0,anomaly
0.7555,tcp,http,SF,1808,2722,normal
0.6317,udp,ftp_data,SF,4701,789,normal
0.4531,udp,http,SF,4970,1172,normal
28.3529,tcp,http,S0,72530,0,anomaly
0.3759,udp,finger,SF,2401,4080,normal
0.1964,icmp,smtp,SF,261,190,normal
0.285,udp,domain_u,SF,811,1255,normal
0.4098,tcp,ftp_data,SF,934,1696,normal
0.0866,tcp,domain_u,SF,3644,4412,normal
0.2353,tcp,ftp_data,SF,1997,4948,normal
0.6767,tcp,finger,SF,165,1739,normal
47.8249,tcp,http,S0,90808,0,anomaly
0.1415,udp,finger,SF,3553,2191,normal
0.7682,icmp,domain_u,SF,482,4872,normal
0.8264,tcp,finger,SF,1257,3194,normal
0.7637,tcp,http,SF,1027,2484,normal
0.558,icmp,finger,SF,2988,1116,normal
24.8818,tcp,http,S0,8889,0,anomaly
0.2201,udp,ftp_data,SF,1517,2534,normal
0.5561,udp,http,SF,4520,4357,normal
0.0405,icmp,domain_u,SF,2150,3227,normal
0.7513,tcp,ftp_data,SF,1278,2643,normal
0.0794,icmp,smtp,SF,1318,511,normal
0.6312,icmp,smtp,SF,2506,2676,normal
0.6108,udp,domain_u,SF,3443,4089,normal
20.4788,tcp,http,S0,5657,0,anomaly
0.3924,tcp,ftp_data,SF,4965,2774,normal
43.8473,tcp,http,S0,31517,0,anomaly
17.7217,tcp,http,S0,96532,0,anomaly
0.7377,udp,smtp,SF,4864,1926,normal
0.5258,tcp,ftp_data,SF,418,3770,normal
33.3735,tcp,http,S0,82395,0,anomaly
0.3151,udp,ftp_data,SF,2796,3292,normal
0.7806,icmp,domain_u,SF,2037,1234,normal
0.3867,icmp,http,SF,1220,2467,normal
0.536,icmp,ftp_data,SF,4362,2624,normal
0.1904,icmp,finger,SF,3629,2712,normal
0.8077,udp,ftp_data,SF,175,3869,normal
0.599,icmp,smtp,SF,900,2272,normal
0.8215,udp,domain_u,SF,4067,3350,normal
0.9571,icmp,smtp,SF,2263,1387,normal
34.8515,tcp,http,S0,23245,0,anomaly
0.2706,icmp,ftp_data,SF,3029,3213,normal
0.1856,icmp,smtp,SF,1327,4738,normal
6.1109,tcp,http,S0,19091,0,anomaly
43.5658,tcp,http,S0,38990,0,anomaly
0.3144,tcp,domain_u,SF,3387,3653,normal
0.8963,tcp,finger,SF,2319,4700,normal
0.0587,udp,finger,SF,2040,2636,normal
0.9497,udp,http,SF,764,549,normal
0.7003,udp,http,SF,4061,2551,normal
0.8408,icmp,http,SF,238,1323,normal
0.7349,udp,finger,SF,4287,540,normal
0.7146,tcp,domain_u,SF,4337,2073,normal
0.748,icmp,http,SF,4798,4811,normal
0.8152,icmp,ftp_data,SF,3067,524,normal
0.6745,tcp,http,SF,2583,1754,normal
0.9423,udp,smtp,SF,2502,3176,normal
0.2947,tcp,domain_u,SF,1291,4681,normal
0.1386,udp,http,SF,3261,4499,normal
0.8781,icmp,ftp_data,SF,3153,2518,normal
0.9379,icmp,domain_u,SF,1093,2790,normal
0.9383,icmp,finger,SF,367,2865,normal
0.6006,tcp,domain_u,SF,3411,4888,normal
0.3005,icmp,finger,SF,1504,263,normal
0.8121,udp,domain_u,SF,1136,396,normal
0.3903,tcp,finger,SF,1787,617,normal
0.7428,icmp,http,SF,4035,479,normal
0.6395,icmp,domain_u,SF,3579,4220,normal
0.5312,icmp,domain_u,SF,4986,1991,normal
0.0432,icmp,finger,SF,2514,4440,normal
0.4454,tcp,ftp_data,SF,3077,2646,normal
34.1859,tcp,http,S0,30255,0,anomaly
20.8187,tcp,http,S0,75510,0,anomaly
0.2913,tcp,smtp,SF,3561,2210,normal
26.2278,tcp,http,S0,10362,0,anomaly
0.0896,udp,domain_u,SF,3009,355,normal
37.334,tcp,http,S0,21491,0,anomaly
29.0861,tcp,http,S0,72560,0,anomaly
41.0923,tcp,http,S0,63944,0,anomaly
37.0655,tcp,http,S0,85838,0,anomaly
0.2973,tcp,domain_u,SF,1969,2890,normal
0.3987,tcp,domain_u,SF,1926,4029,normal
46.7569,tcp,http,S0,62032,0,anomaly
0.8881,udp,smtp,SF,1871,2719,normal
0.1474,udp,http,SF,1001,4051,normal
0.1678,udp,http,SF,4746,1130,normal
0.5287,tcp,smtp,SF,3034,1263,normal
0.1666,udp,smtp,SF,1320,672,normal
0.7912,tcp,finger,SF,4169,3036,normal
0.9654,udp,ftp_data,SF,1652,1348,normal
0.0133,tcp,finger,SF,4071,352,normal
0.8697,udp,smtp,SF,1979,1231,normal
0.2466,udp,domain_u,SF,2780,2220,normal
0.239,tcp,domain_u,SF,2260,703,normal
0.6312,icmp,domain_u,SF,357,3205,normal
13.337,tcp,http,S0,18979,0,anomaly
35.7125,tcp,http,S0,76189,0,anomaly
20.6574,tcp,http,S0,7141,0,anomaly
0.1272,icmp,domain_u,SF,4405,1920,normal
0.5357,udp,domain_u,SF,3714,931,normal
19.3774,tcp,http,S0,65882,0,anomaly
0.0925,tcp,finger,SF,2700,1827,normal
0.6347,icmp,ftp_data,SF,2283,2560,normal
0.9406,icmp,domain_u,SF,3179,2021,normal
0.2459,udp,ftp_data,SF,1688,254,normal
0.1364,tcp,ftp_data,SF,3840,3919,normal
38.651,tcp,http,S0,20818,0,anomaly
0.2138,udp,http,SF,2456,1382,normal
0.7177,icmp,smtp,SF,4511,4717,normal
20.5388,tcp,http,S0,47596,0,anomaly
0.1572,udp,smtp,SF,4496,1710,normal
34.1158,tcp,http,S0,48356,0,anomaly
0.6085,udp,ftp_data,SF,1862,3064,normal
0.5393,tcp,domain_u,SF,3394,1757,normal
0.7193,icmp,http,SF,2534,2754,normal
44.1969,tcp,http,S0,12176,0,anomaly
0.3376,udp,finger,SF,2198,4828,normal
0.0901,tcp,http,SF,2917,1702,normal
0.0079,icmp,finger,SF,1178,2317,normal
0.7272,icmp,ftp_data,SF,3001,2529,normal
0.5356,icmp,smtp,SF,2542,438,normal
44.4134,tcp,http,S0,54243,0,anomaly
34.7009,tcp,http,S0,62336,0,anomaly
0.1901,udp,finger,SF,2801,4800,normal
0.363,icmp,domain_u,SF,2503,4190,normal
0.0753,udp,domain_u,SF,348,4349,normal
0.2088,udp,domain_u,SF,1963,496,normal
0.2967,tcp,domain_u,SF,4504,2257,normal
0.7218,tcp,domain_u,SF,2133,3341,normal
0.0622,icmp,smtp,SF,4492,4180,normal
0.8795,tcp,smtp,SF,351,461,normal
0.5495,tcp,smtp,SF,1750,4841,normal
0.7531,icmp,ftp_data,SF,4687,1107,normal
0.435,tcp,finger,SF,377,3935,normal
0.4362,icmp,ftp_data,SF,4684,1878,normal
0.3782,tcp,http,SF,316,2264,normal
0.9027,tcp,finger,SF,4871,1622,normal
20.7979,tcp,http,S0,20389,0,anomaly
0.1043,udp,ftp_data,SF,1395,4795,normal
0.1858,tcp,smtp,SF,3520,2537,normal
0.278,icmp,finger,SF,3806,3624,normal
49.2631,tcp,http,S0,24435,0,anomaly
0.9589,icmp,finger,SF,4140,2329,normal
0.6384,tcp,domain_u,SF,3563,1875,normal
0.657,icmp,smtp,SF,817,1888,normal
0.9883,tcp,domain_u,SF,2775,2909,normal
